Campaign ID,Campaign Name,Campaign Status
12345678,Sales-Search-1-test,REMOVED
12345678,Website traffic-Search-2,REMOVED
12345678,Search,PAUSED
12345678,Youtube CTC,ENABLED
12345678,Hotel Mirror Test Prototype,REMOVED
12345678,failed evc #2,REMOVED
12345678,failed evc,REMOVED
12345678,Youtube EVC,ENABLED
12345678,Offline External,ENABLED
12345678,youtube Xdev,ENABLED
12345678,Enhanced Conversions,REMOVED
12345678,Offline Gclid-less,ENABLED
12345678,Youtube Mobile iOS,ENABLED
12345678,Search Mobile iOS,REMOVED
12345678,EC,ENABLED
12345678,Youtube CTC #2,ENABLED
12345678,Search #2,ENABLED
12345678,Youtube Mobile iOS #2,ENABLED
12345678,EC #2,ENABLED
12345678,Offline External #2,ENABLED
12345678,Youtube EVC #2,ENABLED
12345678,youtube Xdev #2,ENABLED
12345678,Offline Gclid-less #2,ENABLED
12345678,EC Search #3,ENABLED
12345678,Search #3,PAUSED
12345678,Discovery Test,ENABLED
12345678,EC Youtube #1,ENABLED
12345678,Search UA Import,ENABLED
12345678,Display #1,ENABLED
12345678,11/10 search ca,ENABLED
12345678,Test campaign 1675234428613,REMOVED
12345678,Search#4,ENABLED
12345678,DMA Search,ENABLED
12345678,Leaf - test VAC,ENABLED
12345678,Demand Gen,ENABLED
12345678,Shopping Campaign (udm=28),ENABLED
12345678,Search DDA,ENABLED
